"pli-tv-bu-vb-np20","20. Bartering"
"pli-tv-bu-vb-np21","21. Keeping an extra almsbowl beyond ten days"
"pli-tv-bu-vb-np22","22. Exchanging an almsbowl with fewer than five mends"
"pli-tv-bu-vb-np23","23. Storing the five tonics too long"
"pli-tv-bu-vb-np24","24. Making a rainy-season robe at the wrong time"
"pli-tv-bu-vb-np25","25. Taking back robe-cloth in anger"
"pli-tv-bu-vb-np26","26. Asking for thread"
"pli-tv-bu-vb-np27","27. Bribing weavers"
"pli-tv-bu-vb-np28","28. Storing haste-cloth too long"
"pli-tv-bu-vb-np29","29. Storing a robe for more than six days in an inhabited area"
"pli-tv-bu-vb-np30","30. Diverting an offering intended for the Sangha"
"pli-tv-bu-vb-pc1","1. The training rule on lying"
"pli-tv-bu-vb-pc2","2. Abusive speech"
"pli-tv-bu-vb-pc3","3. Malicious talebearing"
"pli-tv-bu-vb-pc4","4. Instructing a lay person to memorize the Teaching"
"pli-tv-bu-vb-pc5","5. Lying down with one not fully ordained"
"pli-tv-bu-vb-pc6","6. Lying down with a woman"
"pli-tv-bu-vb-pc7","7. Teaching a woman alone"
"pli-tv-bu-vb-pc8","8. Truthfully announcing a superhuman quality"
"pli-tv-bu-vb-pc9","9. Announcing a monk’s grave offense"
"pli-tv-bu-vb-pc10","10. Digging the earth"
"pli-tv-bu-vb-pc11","11. Destroying plants"
"pli-tv-bu-vb-pc12","12. Speaking evasively"
"pli-tv-bu-vb-pc13","13. Complaining"
"pli-tv-bu-vb-pc14","14. Leaving furniture outside"
"pli-tv-bu-vb-pc15","15. Not putting away bedding"
"pli-tv-bu-vb-pc16","16. Encroaching on a monk"
"pli-tv-bu-vb-pc17","17. Evicting a monk"
"pli-tv-bu-vb-pc18","18. Sitting down on an upper story"
"pli-tv-bu-vb-pc19","19. Applying excessive materials to a large dwelling"
"pli-tv-bu-vb-pc20","20. Pouring water with living beings in it"
"pli-tv-bu-vb-pc21","21. Instructing nuns without approval"
"pli-tv-bu-vb-pc22","22. Instructing nuns after sunset"
"pli-tv-bu-vb-pc23","23. Instructing nuns in a nunnery"
"pli-tv-bu-vb-pc24","24. Accusing monks of teaching nuns for profit"
"pli-tv-bu-vb-pc25","25. Giving robe-cloth to a nun"
"pli-tv-bu-vb-pc26","26. Sewing a robe for a nun"
"pli-tv-bu-vb-pc27","27. Traveling with a nun"
"pli-tv-bu-vb-pc28","28. Traveling on a boat with a nun"
"pli-tv-bu-vb-pc29","29. Eating food prepared on a nun’s instruction"
"pli-tv-bu-vb-pc30","30. Sitting alone with a nun"
"pli-tv-bu-vb-pc31","31. Eating excessively at a public guesthouse"
"pli-tv-bu-vb-pc32","32. Eating in a group"
"pli-tv-bu-vb-pc33","33. Eating meals in succession"
"pli-tv-bu-vb-pc34","34. Accepting more than three bowlfuls"
"pli-tv-bu-vb-pc35","35. Eating more after refusing an invitation"
"pli-tv-bu-vb-pc36","36. Encouraging a monastic to eat after refusing an invitation"
"pli-tv-bu-vb-pc37","37. Eating at the wrong time"
"pli-tv-bu-vb-pc38","38. Eating stored food"
"pli-tv-bu-vb-pc39","39. Asking for fine foods"
"pli-tv-bu-vb-pc40","40. Eating ungiven food"
"pli-tv-bu-vb-pc41","41. Giving food to non-Buddhist monastics"
"pli-tv-bu-vb-pc42","42. Dismissing a monk during almsround"
"pli-tv-bu-vb-pc43","43. Intruding on a lustful couple"
"pli-tv-bu-vb-pc44","44. Sitting with a woman in a concealed place"
"pli-tv-bu-vb-pc45","45. Sitting alone with a woman"
"pli-tv-bu-vb-pc46","46. Visiting families before a meal"
"pli-tv-bu-vb-pc47","47. Accepting an invitation of more than four months"
"pli-tv-bu-vb-pc48","48. Going to see a mobilized army"
"pli-tv-bu-vb-pc49","49. Staying more than three days with an army"
"pli-tv-bu-vb-pc50","50. Seeing an army in action"
"pli-tv-bu-vb-pc51","51. Drinking alcohol"
"pli-tv-bu-vb-pc52","52. Tickling"
"pli-tv-bu-vb-pc53","53. Playing in water"
"pli-tv-bu-vb-pc54","54. Disrespect"
"pli-tv-bu-vb-pc55","55. Scaring a monk"
"pli-tv-bu-vb-pc56","56. Lighting a fire"
"pli-tv-bu-vb-pc57","57. Bathing too often"
"pli-tv-bu-vb-pc58","58. Not making stains on a new robe"
"pli-tv-bu-vb-pc59","59. Using assigned property that has not been relinquished"
"pli-tv-bu-vb-pc60","60. Hiding a robe"
"pli-tv-bu-vb-pc61","61. Intentionally killing a living being"
"pli-tv-bu-vb-pc62","62. Using water with living beings in it"
"pli-tv-bu-vb-pc63","63. Reopening a settled legal issue"
"pli-tv-bu-vb-pc64","64. Concealing a grave offense"
"pli-tv-bu-vb-pc65","65. Ordaining a person under twenty"
"pli-tv-bu-vb-pc66","66. Traveling with thieves"
"pli-tv-bu-vb-pc67","67. Traveling with a woman"
"pli-tv-bu-vb-pc68","68. Not giving up a bad view"
"pli-tv-bu-vb-pc69","69. Living with an ejected monk"
"pli-tv-bu-vb-pc70","70. Supporting a novice monk with a bad view"
"pli-tv-bu-vb-pc71","71. Not accepting legitimate correction"
"pli-tv-bu-vb-pc72","72. Disparaging the training rules"
"pli-tv-bu-vb-pc73","73. Deception"
"pli-tv-bu-vb-pc74","74. Hitting in anger"
"pli-tv-bu-vb-pc75","75. Raising a hand in anger"
"pli-tv-bu-vb-pc76","76. Making a groundless accusation"
"pli-tv-bu-vb-pc77","77. Intentionally making a monk anxious"
"pli-tv-bu-vb-pc78","78. Eavesdropping"
"pli-tv-bu-vb-pc79","79. Criticizing a legitimate legal procedure"
"pli-tv-bu-vb-pc80","80. Leaving without giving consent"
"pli-tv-bu-vb-pc81","81. Criticizing a robe distribution"
"pli-tv-bu-vb-pc82","82. Diverting gains intended for the Sangha"
"pli-tv-bu-vb-pc83","83. Entering a royal compound unannounced"
"pli-tv-bu-vb-pc84","84. Picking up precious things"
"pli-tv-bu-vb-pc85","85. Entering an inhabited area at the wrong time"
"pli-tv-bu-vb-pc86","86. Making an inappropriate needle case"
"pli-tv-bu-vb-pc87","87. Making an inappropriate bed or bench"
"pli-tv-bu-vb-pc88","88. Making an upholstered bed or bench"
